,wall_time,name,step,value
28,1677500462.7282426,Acc/Train,4,0.6858000159263611
29,1677500476.4156675,proxy_step,4,0.0
30,1677500476.4157553,Loss/Val,4,0.26448854804039
31,1677500476.415923,Acc/Val,4,0.9649999737739563
32,1677500491.6765997,proxy_step,5,0.0
33,1677500491.6766887,Loss/Train,5,0.5652918219566345
34,1677500491.6770077,Acc/Train,5,0.8432000279426575
35,1677500505.656464,proxy_step,5,0.0
36,1677500505.6565516,Loss/Val,5,0.11166459321975708
37,1677500505.6567967,Acc/Val,5,0.9724000096321106
0,1677500508.7019958,experiment_name/text_summary,0,0.0
1,1677500508.7020967,ds_path/text_summary,0,0.0
2,1677500508.7021418,ds_name/text_summary,0,0.0
3,1677500508.7022052,name_fn/text_summary,0,0.0
4,1677500508.7022479,image_size/text_summary,0,0.0
5,1677500508.7023065,batch_size/text_summary,0,0.0
6,1677500508.7023592,epoch_steps/text_summary,0,0.0
7,1677500508.702393,enable_proxy_attention/text_summary,0,0.0
8,1677500508.7024295,change_subset_attention/text_summary,0,0.0
9,1677500508.7024858,num_gpu/text_summary,0,0.0
10,1677500508.7025344,num_cpu/text_summary,0,0.0
11,1677500508.7029176,transfer_imagenet/text_summary,0,0.0
12,1677500508.7072082,subset_images/text_summary,0,0.0
13,1677500508.7115898,proxy_threshold/text_summary,0,0.0
14,1677500508.715966,pixel_replacement_method/text_summary,0,0.0
15,1677500508.7200978,model/text_summary,0,0.0
16,1677500508.7240078,proxy_steps/text_summary,0,0.0
17,1677500508.7284677,load_proxy_data/text_summary,0,0.0
18,1677500508.7321486,gradient_method/text_summary,0,0.0
19,1677500508.7362454,clear_every_step/text_summary,0,0.0
20,1677500508.7398775,fname_start/text_summary,0,0.0
21,1677500508.7435176,device/text_summary,0,0.0
22,1677500508.7471354,global_run_count/text_summary,0,0.0
23,1677500508.7506592,label_map/text_summary,0,0.0
24,1677500508.754358,rev_label_map/text_summary,0,0.0
25,1677500508.7583888,num_classes/text_summary,0,0.0
26,1677500523.8024738,proxy_step,1,0.0
27,1677500523.8025591,Loss/Train,1,1.263810396194458
28,1677500523.8028023,Acc/Train,1,0.6783999800682068
29,1677500538.0191624,proxy_step,1,0.0
30,1677500538.0192497,Loss/Val,1,0.18039296567440033
31,1677500538.019508,Acc/Val,1,0.9815999865531921
0,1677500539.9435306,experiment_name/text_summary,0,0.0
1,1677500539.9436343,ds_path/text_summary,0,0.0
2,1677500539.9436798,ds_name/text_summary,0,0.0
3,1677500539.9437232,name_fn/text_summary,0,0.0
4,1677500539.9437602,image_size/text_summary,0,0.0
5,1677500539.9437952,batch_size/text_summary,0,0.0
6,1677500539.9438324,epoch_steps/text_summary,0,0.0
7,1677500539.9438667,enable_proxy_attention/text_summary,0,0.0
8,1677500539.9439037,change_subset_attention/text_summary,0,0.0
9,1677500539.9439688,num_gpu/text_summary,0,0.0
10,1677500539.9440098,num_cpu/text_summary,0,0.0
11,1677500539.9442832,transfer_imagenet/text_summary,0,0.0
12,1677500539.948509,subset_images/text_summary,0,0.0
13,1677500539.9523964,proxy_threshold/text_summary,0,0.0
14,1677500539.9562747,pixel_replacement_method/text_summary,0,0.0
15,1677500539.9603255,model/text_summary,0,0.0
16,1677500539.9646757,proxy_steps/text_summary,0,0.0
17,1677500539.9691129,load_proxy_data/text_summary,0,0.0
18,1677500539.9731524,gradient_method/text_summary,0,0.0
19,1677500539.976886,clear_every_step/text_summary,0,0.0
20,1677500539.9807408,fname_start/text_summary,0,0.0
21,1677500539.9849253,device/text_summary,0,0.0
22,1677500539.989211,global_run_count/text_summary,0,0.0
23,1677500539.9930663,label_map/text_summary,0,0.0
24,1677500539.996769,rev_label_map/text_summary,0,0.0
25,1677500540.000979,num_classes/text_summary,0,0.0
26,1677500554.535517,proxy_step,1,0.0
27,1677500554.535602,Loss/Train,1,1.24567711353302
28,1677500554.5357594,Acc/Train,1,0.6819999814033508
29,1677500569.2666924,proxy_step,1,0.0
30,1677500569.266819,Loss/Val,1,0.13475292921066284
31,1677500569.2671614,Acc/Val,1,0.9797999858856201
32,1677500584.2456148,proxy_step,2,0.0
33,1677500584.2457073,Loss/Train,2,0.5524794459342957
34,1677500584.2460713,Acc/Train,2,0.8471999764442444
35,1677500598.0994053,proxy_step,2,0.0
36,1677500598.0994902,Loss/Val,2,0.12071870267391205
37,1677500598.099741,Acc/Val,2,0.9746000170707703
0,1677500600.0273142,experiment_name/text_summary,0,0.0
1,1677500600.0274193,ds_path/text_summary,0,0.0
